sender,receiver,transaction_amount,transaction_date
CUST000001,CUST015796,96,2024-12-13
CUST000002,CUST000861,81,2024-06-07
CUST000003,CUST076821,48,2024-10-17
CUST000004,CUST054887,98,2024-11-29
CUST000005,CUST006266,81,2024-04-27
CUST000006,CUST082387,58,2024-06-06
CUST000007,CUST037195,5,2024-10-30
CUST000008,CUST087499,95,2024-06-15
CUST000009,CUST044132,74,2024-09-14
CUST000010,CUST060264,91,2024-08-31
CUST000011,CUST016024,80,2024-09-09
CUST000012,CUST041091,57,2025-02-13
CUST000013,CUST067222,100,2025-02-02
CUST000014,CUST064821,98,2024-05-18
CUST000015,CUST000770,63,2025-01-05
CUST000016,CUST059736,46,2024-07-31
CUST000017,CUST062956,17,2024-06-22
CUST000018,CUST064926,46,2024-11-11
CUST000019,CUST067970,2,2024-06-23
CUST000020,CUST005312,38,2025-03-08
CUST000021,CUST083105,28,2025-04-02
CUST000022,CUST053708,48,2025-03-19
CUST000023,CUST085306,73,2024-10-23
CUST000024,CUST028694,42,2025-04-15
CUST000025,CUST071933,64,2024-07-03
CUST000026,CUST093017,44,2024-06-28
CUST000027,CUST025659,49,2025-03-22
CUST000028,CUST084479,30,2025-04-23
CUST000029,CUST018432,60,2024-06-09
CUST000030,CUST002748,20,2024-12-02
CUST000031,CUST059151,15,2024-07-18
CUST000032,CUST065726,79,2025-04-18
CUST000033,CUST084655,91,2024-08-10
CUST000034,CUST035774,62,2024-12-07
CUST000035,CUST067436,99,2025-02-04
CUST000036,CUST056887,75,2024-09-24
CUST000037,CUST066804,81,2025-01-29
CUST000038,CUST031552,76,2024-06-09
CUST000039,CUST011395,61,2024-09-19
CUST000040,CUST069093,74,2024-06-13
CUST000041,CUST003891,48,2025-02-27
CUST000042,CUST041607,10,2025-01-18
CUST000043,CUST096277,16,2024-08-16
CUST000044,CUST080039,42,2025-04-19
CUST000045,CUST087314,72,2025-01-20
CUST000046,CUST010628,59,2025-03-31
CUST000047,CUST008793,51,2024-08-10
CUST000048,CUST073970,38,2024-10-16
CUST000049,CUST043002,95,2025-01-03
CUST000050,CUST076553,1,2024-11-02
CUST000051,CUST023898,29,2024-05-16
CUST000052,CUST068149,86,2024-04-23
CUST000053,CUST023484,67,2024-07-28
CUST000054,CUST048556,22,2024-08-06
CUST000055,CUST017160,40,2024-07-03
CUST000056,CUST080078,17,2024-09-26
CUST000057,CUST035921,10,2024-07-20
CUST000058,CUST092068,70,2025-04-02
CUST000059,CUST067122,9,2024-05-27
CUST000060,CUST069480,86,2024-05-20
CUST000061,CUST089476,100,2024-07-30
CUST000062,CUST019458,41,2024-09-17
CUST000063,CUST066558,61,2024-06-09
CUST000064,CUST077190,59,2025-03-26
CUST000065,CUST078954,40,2025-03-22
CUST000066,CUST052996,93,2025-02-01
CUST000067,CUST040758,57,2024-08-26
CUST000068,CUST009693,61,2024-10-29
CUST000069,CUST045759,68,2025-01-31
CUST000070,CUST072410,3,2025-02-21
CUST000071,CUST071212,31,2024-12-29
CUST000072,CUST065698,92,2024-10-04
CUST000073,CUST037066,21,2025-02-20
CUST000074,CUST092094,38,2024-06-18
CUST000075,CUST099300,28,2024-12-06
CUST000076,CUST032607,37,2024-09-11
CUST000077,CUST011535,21,2024-09-01
CUST000078,CUST094664,76,2024-12-24
CUST000079,CUST040398,91,2024-11-01
CUST000080,CUST091388,93,2024-11-02
CUST000081,CUST001017,42,2024-12-21
CUST000082,CUST089790,91,2024-05-03
CUST000083,CUST055592,2,2024-11-07
CUST000084,CUST089813,14,2024-11-13
CUST000085,CUST023248,82,2025-03-24
CUST000086,CUST024301,35,2025-01-21
CUST000087,CUST074066,37,2024-05-01
CUST000088,CUST082799,33,2025-03-16
CUST000089,CUST009269,90,2024-10-11
CUST000090,CUST086808,73,2025-03-20
CUST000091,CUST012186,91,2024-06-20
CUST000092,CUST063705,97,2024-10-14
CUST000093,CUST086780,80,2024-10-30
CUST000094,CUST039100,90,2024-10-08
CUST000095,CUST008572,73,2024-12-24
CUST000096,CUST038045,34,2025-04-21
CUST000097,CUST051215,75,2024-11-11
CUST000098,CUST061229,85,2025-03-30
CUST000099,CUST048985,8,2024-07-10
CUST000100,CUST040775,42,2024-11-22
CUST000101,CUST002569,33,2024-12-08
CUST000102,CUST062593,54,2024-10-23
CUST000103,CUST067564,91,2024-12-03
CUST000104,CUST002696,44,2024-05-27
CUST000105,CUST048191,36,2024-08-04
CUST000106,CUST005259,6,2024-09-21
CUST000107,CUST087539,94,2024-04-28
CUST000108,CUST039505,34,2025-03-18
CUST000109,CUST033160,29,2024-06-30
CUST000110,CUST013987,5,2025-04-13
CUST000111,CUST061859,74,2025-02-04
CUST000112,CUST012667,98,2024-05-24
CUST000113,CUST038661,39,2024-08-24
CUST000114,CUST003562,70,2025-01-23
CUST000115,CUST026855,9,2024-06-15
CUST000116,CUST064506,41,2025-03-07
CUST000117,CUST052252,61,2025-03-31
CUST000118,CUST022663,57,2025-01-28
CUST000119,CUST008393,62,2025-01-15
CUST000120,CUST030536,58,2025-04-13
CUST000121,CUST078604,69,2024-06-28
CUST000122,CUST052257,62,2024-09-20
CUST000123,CUST089136,90,2025-01-05
CUST000124,CUST035223,87,2024-06-24
CUST000125,CUST077374,50,2024-05-26
CUST000126,CUST079576,50,2025-02-04
CUST000127,CUST096355,45,2025-02-28
CUST000128,CUST084652,2,2024-06-10
CUST000129,CUST063336,53,2024-06-18
CUST000130,CUST010966,84,2024-04-25
CUST000131,CUST024539,17,2025-02-19
CUST000132,CUST070593,17,2024-08-06
CUST000133,CUST098019,77,2025-02-07
CUST000134,CUST008111,35,2024-07-29
CUST000135,CUST079310,77,2024-11-06
CUST000136,CUST027267,52,2024-07-25
CUST000137,CUST052993,24,2024-06-24
CUST000138,CUST082949,70,2025-03-25
CUST000139,CUST098807,74,2025-02-15
CUST000140,CUST006911,92,2025-01-24
CUST000141,CUST090983,48,2024-09-07
CUST000142,CUST000207,84,2024-08-01
CUST000143,CUST087055,91,2024-06-14
CUST000144,CUST087898,61,2025-01-27
CUST000145,CUST023420,99,2024-11-16
CUST000146,CUST050637,3,2025-02-15
CUST000147,CUST050016,5,2025-03-20
CUST000148,CUST054269,89,2024-11-15
CUST000149,CUST087940,19,2024-12-02
CUST000150,CUST018142,84,2024-09-20
CUST000151,CUST080357,95,2024-10-11
CUST000152,CUST071911,75,2024-11-20
CUST000153,CUST056045,10,2025-01-06
CUST000154,CUST067215,37,2024-06-08
CUST000155,CUST033828,84,2024-08-25
CUST000156,CUST055821,71,2024-08-11
CUST000157,CUST062624,57,2025-03-18
CUST000158,CUST081735,11,2024-09-16
CUST000159,CUST075451,38,2025-04-21
CUST000160,CUST093427,36,2025-03-06
CUST000161,CUST022300,54,2024-11-19
CUST000162,CUST043586,14,2025-03-16
CUST000163,CUST064045,12,2024-10-29
CUST000164,CUST042558,23,2025-04-01
CUST000165,CUST049081,36,2024-04-29
CUST000166,CUST002694,45,2024-09-08
CUST000167,CUST095004,15,2024-08-23
CUST000168,CUST095260,26,2025-02-12
CUST000169,CUST069164,45,2024-07-04
CUST000170,CUST025940,27,2024-12-25
CUST000171,CUST048926,34,2024-10-30
CUST000172,CUST042942,55,2025-01-09
CUST000173,CUST021835,26,2024-10-01
CUST000174,CUST018048,6,2024-04-23
CUST000175,CUST026106,73,2024-05-01
CUST000176,CUST075767,59,2024-07-11
CUST000177,CUST015708,73,2024-05-03
CUST000178,CUST021977,77,2024-09-13
CUST000179,CUST044263,35,2024-11-16
CUST000180,CUST023777,95,2024-05-12
CUST000181,CUST030081,46,2025-04-16
CUST000182,CUST066843,64,2025-02-20
CUST000183,CUST061374,8,2024-10-01
CUST000184,CUST006777,44,2024-12-13
CUST000185,CUST092788,22,2024-06-26
CUST000186,CUST055017,92,2024-09-04
CUST000187,CUST009475,19,2024-12-30
CUST000188,CUST058054,72,2024-05-17
CUST000189,CUST021960,60,2025-02-18
CUST000190,CUST005531,79,2024-10-26
CUST000191,CUST094857,38,2025-03-31
CUST000192,CUST003749,46,2025-02-21
CUST000193,CUST097505,62,2024-05-13
CUST000194,CUST098099,95,2024-10-05
CUST000195,CUST013546,84,2025-01-16
CUST000196,CUST066200,44,2025-02-01
CUST000197,CUST034767,79,2024-05-30
CUST000198,CUST073531,41,2025-01-22
CUST000199,CUST093558,81,2024-11-02
CUST000200,CUST061088,16,2024-07-10
CUST000201,CUST095840,1,2024-10-16
CUST000202,CUST068841,9,2024-06-11
CUST000203,CUST054385,61,2024-12-20
CUST000204,CUST051006,60,2024-12-11
CUST000205,CUST046577,38,2024-05-08
CUST000206,CUST039354,1,2024-10-20
CUST000207,CUST062004,48,2024-09-30
CUST000208,CUST083212,16,2025-01-26
CUST000209,CUST052734,9,2024-08-05
CUST000210,CUST065319,54,2025-02-04
CUST000211,CUST089475,60,2024-05-27
CUST000212,CUST023665,25,2024-10-04
CUST000213,CUST067173,43,2025-02-12
CUST000214,CUST085617,49,2024-12-08
CUST000215,CUST093265,96,2024-09-30
CUST000216,CUST026737,63,2025-04-23
CUST000217,CUST094210,91,2024-06-29
CUST000218,CUST000855,58,2024-11-12
CUST000219,CUST090085,78,2024-05-18
CUST000220,CUST038624,23,2025-02-14
CUST000221,CUST007393,41,2024-12-16
CUST000222,CUST055681,66,2024-07-10
CUST000223,CUST046718,42,2024-11-16
CUST000224,CUST087093,48,2025-01-05
CUST000225,CUST050860,21,2024-08-18
CUST000226,CUST026310,54,2024-09-04
CUST000227,CUST087456,95,2024-09-05
CUST000228,CUST063735,61,2025-02-20
CUST000229,CUST070468,95,2024-06-08
CUST000230,CUST052663,6,2025-02-23
CUST000231,CUST098507,100,2025-02-01
CUST000232,CUST012689,15,2024-06-13
CUST000233,CUST025343,97,2024-06-17
CUST000234,CUST037158,4,2024-05-13
CUST000235,CUST067864,9,2024-10-01
CUST000236,CUST052084,74,2024-10-18
CUST000237,CUST065734,20,2025-02-16
CUST000238,CUST089046,30,2025-01-22
CUST000239,CUST034699,68,2025-01-22
CUST000240,CUST080624,41,2024-09-04
CUST000241,CUST022672,51,2025-01-31
CUST000242,CUST025185,89,2024-09-02
CUST000243,CUST093385,64,2024-10-30
CUST000244,CUST042108,3,2024-06-27
CUST000245,CUST086203,25,2024-12-06
CUST000246,CUST051664,7,2024-09-10
CUST000247,CUST015709,9,2024-07-22
CUST000248,CUST091907,40,2025-01-21
CUST000249,CUST049812,43,2024-11-18
CUST000250,CUST002812,26,2024-06-02
CUST000251,CUST056251,92,2024-12-18
CUST000252,CUST072083,70,2025-04-07
CUST000253,CUST034755,66,2025-03-19
CUST000254,CUST095743,55,2024-10-16
CUST000255,CUST011412,71,2024-09-06
CUST000256,CUST002912,16,2024-07-22
CUST000257,CUST067271,53,2025-01-13
CUST000258,CUST083764,61,2024-12-14
CUST000259,CUST008681,64,2024-12-15
CUST000260,CUST084897,19,2024-11-15
CUST000261,CUST083880,82,2025-03-04
CUST000262,CUST071296,59,2024-05-18
CUST000263,CUST088615,58,2025-03-19
CUST000264,CUST011112,83,2025-04-07
CUST000265,CUST037505,44,2024-05-02
CUST000266,CUST001803,87,2025-03-23
CUST000267,CUST008156,5,2024-11-24
CUST000268,CUST073657,31,2024-10-22
CUST000269,CUST039385,2,2024-06-27
CUST000270,CUST047255,99,2025-01-08
CUST000271,CUST021919,38,2024-06-26
CUST000272,CUST085982,22,2025-01-13
CUST000273,CUST060714,11,2024-10-18
CUST000274,CUST030307,32,2025-04-12
CUST000275,CUST016647,92,2025-01-14
CUST000276,CUST046844,27,2024-10-24
CUST000277,CUST096602,22,2025-01-05
CUST000278,CUST090736,7,2024-04-25
CUST000279,CUST016372,7,2024-08-06
CUST000280,CUST077372,37,2024-06-30
CUST000281,CUST002050,74,2024-10-26
CUST000282,CUST031617,57,2025-03-01
CUST000283,CUST020933,74,2024-07-17
CUST000284,CUST029856,54,2024-11-18
CUST000285,CUST061435,89,2024-09-13
CUST000286,CUST072695,66,2025-01-12
CUST000287,CUST043017,38,2024-04-26
CUST000288,CUST007401,6,2024-10-13
CUST000289,CUST042643,14,2024-11-15
CUST000290,CUST015152,21,2024-07-28
CUST000291,CUST051408,66,2024-09-15
CUST000292,CUST066691,20,2024-11-24
CUST000293,CUST004500,50,2024-06-23
CUST000294,CUST006296,41,2025-03-01
CUST000295,CUST059041,22,2025-03-03
CUST000296,CUST012184,89,2024-07-01
CUST000297,CUST029300,45,2024-11-07
CUST000298,CUST012875,43,2025-03-24
CUST000299,CUST032712,19,2024-07-17
CUST000300,CUST005540,66,2024-10-02
CUST000301,CUST053352,68,2025-02-08
CUST000302,CUST061268,8,2024-12-27
CUST000303,CUST048355,8,2024-12-14
CUST000304,CUST002558,81,2024-09-15
CUST000305,CUST038361,52,2024-12-07
CUST000306,CUST082019,16,2024-08-30
CUST000307,CUST002201,76,2024-05-26
CUST000308,CUST068498,39,2024-11-02
CUST000309,CUST046976,40,2024-10-12
CUST000310,CUST021358,14,2024-05-09
CUST000311,CUST077506,3,2024-10-31
CUST000312,CUST002870,7,2025-01-05
CUST000313,CUST061136,88,2024-08-21
CUST000314,CUST050109,23,2024-10-04
CUST000315,CUST094180,52,2024-10-06
CUST000316,CUST090273,9,2024-06-17
CUST000317,CUST038468,48,2024-05-29
CUST000318,CUST023329,50,2025-02-14
CUST000319,CUST091413,51,2025-03-27
CUST000320,CUST086832,49,2025-03-29
CUST000321,CUST003988,78,2025-02-16
CUST000322,CUST058872,45,2024-12-31
CUST000323,CUST022400,88,2025-03-26
CUST000324,CUST046215,26,2025-04-03
CUST000325,CUST099523,72,2024-05-17
CUST000326,CUST086417,61,2025-02-12
CUST000327,CUST070272,94,2024-05-08
CUST000328,CUST044065,97,2024-09-27
CUST000329,CUST070092,72,2025-01-22
CUST000330,CUST040819,83,2025-01-26
CUST000331,CUST045526,24,2025-02-17
CUST000332,CUST019831,99,2025-04-07
CUST000333,CUST017430,69,2025-04-18
CUST000334,CUST006894,10,2025-03-08
CUST000335,CUST079910,39,2024-10-08
CUST000336,CUST047334,87,2024-08-04
CUST000337,CUST003437,30,2024-11-01
CUST000338,CUST074291,7,2025-02-16
CUST000339,CUST076214,63,2024-09-07
CUST000340,CUST005896,90,2024-07-31
CUST000341,CUST019739,86,2024-09-18
CUST000342,CUST030747,18,2024-11-25
CUST000343,CUST049378,23,2024-06-14
CUST000344,CUST048405,64,2024-09-13
CUST000345,CUST054046,65,2024-07-06
CUST000346,CUST097889,67,2025-02-04
CUST000347,CUST039791,20,2024-04-26
CUST000348,CUST005601,30,2025-02-05
CUST000349,CUST094661,30,2025-03-08
CUST000350,CUST093180,77,2025-01-21
CUST000351,CUST040765,96,2024-11-06
CUST000352,CUST074544,37,2024-05-31
CUST000353,CUST045715,46,2024-09-07
