customer_id,loan_type,amount_utilized,utilization_date,loan_reason,age,total_cost
CUST026688,Top-Up Loan,172000,2025-03-02,Rkz sk qtuc ol ck iuarj yvktj g rgfe Yatjge payz hotmk-cgzinotm urj ynucy,73,207400.0
CUST037961,Credit Card Loan,838000,2025-01-18,Kag etagxp pqruzufqxk vauz iq oagxp sa az m ebazfmzqage damp fdub iuftagf ygot bxmzzuzs,116,1006600.0
CUST051615,Loan Against Deposit,968000,2025-04-12,Tmb um svwe qn em kwctl ow wv i axwvbivmwca zwil bzqx eqbpwcb uckp xtivvqvo,32,1162600.0
CUST003387,Auto Loan,627000,2024-11-08,K co ytkvkpi vq hqnnqy wr vjcv vjgtg ctg pq rgpfkpi kvgou dghqtg vjg enquwtg qh vjku rjcug,187,753400.0
CUST078576,Education Loan,728000,2025-04-03,Ymnspnsl bj xmtzqi bj htzqi gttp ynhpjyx ktw ymfy htshjwy mfuujsnsl sjcy rtsym,41,874600.0
CUST068340,Auto Loan,94000,2024-08-30,Qb ewctl jm iemawum qn em kwctl ow wv i axwvbivmwca zwil bzqx eqbpwcb uckp xtivvqvo,257,113800.0
CUST066754,Top-Up Loan,389000,2025-03-07,Yj mekbt ru qmuiecu yv mu sekbt we ed q ifedjqdueki heqt jhyf myjxekj cksx fbqddydw,68,467800.0
CUST087498,Travel Loan,687000,2025-01-24,Rfc pcoscqrcb bmaskclrq fytc zccl npcnypcb ylb rfyr rfc npmhcar bcjgtcpyzjcq ypc qszkgrrcb zw rfc snamkgle bcybjglc,110,825400.0
CUST034490,Loan Against Deposit,459000,2024-12-16,Mu iuhyekibo duut je mu sekbt xeij q icqbb wuj-jewujxuh qj co fbqsu jxyi muuaudt,149,551800.0
CUST018168,Travel Loan,45000,2024-05-02,Gr umsjb zc yucqmkc gd uc amsjb epyz bgllcp qmkcrgkc rfgq ucci ylb ayraf sn npmncpjw,377,67000.0
CUST090613,Credit Card Loan,311000,2024-05-05,V svanyyl tbg gvzr gb jr pbhyq teno qvaare fbzrgvzr guvf jrrx naq pngpu hc cebcreyl,374,450040.0
CUST054314,Home Loan,933000,2024-08-22,D adivggt bjo odhz oj rz xjpgy wjjf odxfzon ajm ocvo xjixzmo cvkkzidib izso hjioc,265,1120600.0
CUST008226,Loan Against Deposit,964000,2024-05-04,H zl vqhshmf sn enkknv to sgzs sgdqd zqd mn odmchmf hsdlr adenqd sgd bknrtqd ne sghr ogzrd,375,1390360.0
CUST044901,Travel Loan,112000,2025-04-18,Sio mbiofx xyzchcnyfs dich qy wiofx ai ih u mjihnuhyiom liux nlcj qcnbion gowb jfuhhcha,26,135400.0
CUST019829,Medical Loan,926000,2024-05-19,Jxydaydw mu ixekbt mu sekbt we veh q xyau yv jxu muqjxuh ijqoi weet,360,1112200.0
CUST053205,Loan Against Deposit,386000,2024-04-30,Dau E swo pdejgejc sa ykqhz pnu pdwp jas levvw lhwya aranukja gaalo naykiiajzejc,379,558040.0
CUST047289,Travel Loan,870000,2024-07-16,Jr ner njnvgvat lbhe pbasvezngvba gung gur fpurqhyrq gvzryvar sbe gur cebwrpg erznvaf hapunatrq,302,1045000.0
CUST048737,Education Loan,814000,2024-07-28,Fn jan jfjrcrwp hxda lxworavjcrxw cqjc fn vjrwcjrw xynw lxvvdwrljcrxw mdarwp cqn rvyunvnwcjcrxw ynarxm,290,977800.0
CUST003033,Travel Loan,178000,2025-01-16,Yg ugtkqwuna pggf vq yg eqwnf iq hqt c jkmg kh vjg ygcvjgt uvcau iqqf,118,214600.0
CUST013329,Top-Up Loan,331000,2024-11-11,Xqf yq wzai ur iq oagxp sdmn puzzqd eayqfuyq ftue iqqw mzp omfot gb bdabqdxk,184,398200.0
CUST097770,Personal Loan,222000,2024-11-12,Matgd rhn yhk rhnk tmmxgmbhg matm tee vhfiebtgvx kxjnbkxfxgml atox uxxg lnvvxllyneer fxm,183,267400.0
CUST090949,Loan Against Deposit,635000,2024-12-06,L dp zulwlqj wr iroorz xs wkdw wkhuh duh qr shqglqj lwhpv ehiruh wkh forvxuh ri wklv skdvh,159,763000.0
CUST023439,Personal Loan,497000,2024-06-20,Ymknq iq omz bxmz eayqftuzs iq oagxp otqow agf ftmf zqi yahuq kag yqzfuazqp xmef yazft,328,597400.0
CUST085048,Auto Loan,702000,2024-12-23,Iwuxa sa ywj lhwj okiapdejc sa ykqhz dwjc kqp xu pda xawyd xabkna ep capo ykhzan wcwej,142,843400.0
CUST005314,Personal Loan,541000,2024-05-16,Ohw ph nqrz li zh frxog jude glqqhu vrphwlph wklv zhhn dqg fdwfk xs surshuob,363,650200.0
CUST073797,Credit Card Loan,487000,2025-04-23,X pb lgxixcv id udaadl je iwpi iwt jespits edaxrn vjxstaxcth wpkt qttc sxhigxqjits id paa stepgibtcih,21,585400.0
CUST059022,Credit Card Loan,581000,2024-07-13,Qgm kzgmdv vwxafalwdq bgaf ow ugmdv khwfv s dsrq Kmfvsq bmkl tafyw-osluzafy gdv kzgok,305,698200.0
CUST010537,Auto Loan,899000,2024-11-14,Znotqotm ck ynuarj ck iuarj inkiq uaz zngz tkc subok eua sktzoutkj rgyz sutzn,181,1079800.0
CUST007326,Education Loan,807000,2024-12-02,Ymnspnsl bj xmtzqi bj htzqi hmjhp tzy ymfy sjb rtanj dtz rjsyntsji qfxy rtsym,163,969400.0
CUST001150,Loan Against Deposit,740000,2024-11-21,Sa oanekqohu jaaz pk sa ykqhz opwnp skngejc kj pdwp lnkfayp ezaw sa fkgaz wxkqp awnhean,174,889000.0
CUST056302,Top-Up Loan,426000,2024-09-12,Dl zlypvbzsf ullk av dl jvbsk zahya dvyrpun vu aoha wyvqlja pklh dl qvrlk hivba lhysply,244,512200.0
CUST039812,Business Loan,153000,2024-07-21,N btzqi qnpj yt nsktwr dtz ymfy ymj zuifyji utqnhd lznijqnsjx mfaj gjjs inxywngzyji yt fqq ijufwyrjsyx,297,184600.0
CUST017005,Auto Loan,785000,2025-01-25,Yg ctg cyckvkpi aqwt eqphktocvkqp vjcv vjgtg ctg pq rgpfkpi kvgou dghqtg vjg enquwtg qh vjku rjcug,109,943000.0
CUST027473,Personal Loan,624000,2024-06-08,Qeb obnrbpqba alzrjbkqp exsb ybbk mobmxoba xka qexq qeb obsfpba zlkqoxzq qbojp xob obsfbtba xka xzzbmqba,340,749800.0
CUST033380,Top-Up Loan,808000,2024-06-11,Njcyqc bm lmr fcqgryrc rm pcyaf msr rfyr wmsp amkkclrq ypc glampnmpyrcb glrm rfc dglyj tcpqgml md rfc yepcckclr,337,970600.0
CUST057971,Home Loan,185000,2024-06-26,Hvoby mci tcf mcif ohhsbhwcb hvoh hvs wbjcwqs rshowzg ofs qcffsqhzm fstzsqhsr wb mcif fsqcfrg,322,223000.0
CUST092191,Medical Loan,947000,2025-02-19,Dro boaeocdon nymewoxdc rkfo loox zbozkbon kxn drkd iyeb mywwoxdc kbo sxmybzybkdon sxdy dro psxkv fobcsyx yp dro kqboowoxd,84,1137400.0
CUST013800,Business Loan,886000,2024-12-18,Sgehk ck igt vrgt yuskznotm ck iuarj mu lux g noqk ol znk ckgznkx yzgey muuj,147,1064200.0
CUST012929,Business Loan,879000,2024-09-18,Eslyv jzf qzc jzfc leepyetzy esle hp xltyelty zapy nzxxfytnletzy ofctyr esp txawpxpyeletzy apctzo,238,1055800.0
CUST083848,Education Loan,470000,2024-11-11,Ai wlsyph evverki e qiixmrk xlex xlivi evi rs tirhmrk mxiqw fijsvi xli gpswyvi sj xlmw tlewi,184,565000.0
CUST047384,Personal Loan,504000,2025-02-19,Exm fx dghp by px vhnew atgz hnm ur max uxtva uxyhkx bm zxml vhewxk tztbg,84,605800.0
CUST045632,Top-Up Loan,373000,2024-11-04,Ocadg yg ecp rncp uqogvjkpi yg eqwnf iq qp c urqpvcpgqwu tqcf vtkr ykvjqwv owej rncppkpi,191,448600.0
CUST001578,Education Loan,388000,2024-08-12,W twbozzm uch hwas hc ks qcizr ghofh kcfywbu cb hvoh dfcxsqh wrso ks xcysr opcih sofzwsf,275,466600.0
CUST037066,Loan Against Deposit,647000,2025-01-02,Xnt rgntkc cdehmhsdkx inhm vd bntkc fqza chmmdq rnldshld sghr vddj zmc bzsbg to oqnodqkx,132,777400.0
CUST032654,Home Loan,765000,2025-02-20,Epno rviozy oj nvt rz xjpgy bj ajm v cdfz da ocz rzvoczm novtn bjjy,83,919000.0
CUST097267,Top-Up Loan,230000,2025-04-05,Iwuxa sa ywj lhwj okiapdejc sa ykqhz opwnp skngejc kj pdwp lnkfayp ezaw sa fkgaz wxkqp awnhean,39,277000.0
CUST055361,Business Loan,823000,2024-07-08,Al ogmdv tw yjwsldq shhjwuaslwv ax lzsl qgmj ugeewflk sjw afugjhgjslwv aflg lzw xafsd nwjkagf gx lzw syjwwewfl,310,988600.0
CUST079322,Travel Loan,101000,2025-04-11,Ny btzqi gj fbjxtrj nk bj htzqi ywd ymfy sjb uneef uqfhj jajwdtsj pjjux wjhtrrjsinsl,33,122200.0
CUST077342,Travel Loan,830000,2025-04-20,Uf tme nqqz imk faa xazs euzoq iq oagxp sa az m ebazfmzqage damp fdub iuftagf ygot bxmzzuzs,24,997000.0
CUST076881,Medical Loan,330000,2025-02-13,Hsqr uylrcb rm qyw uc amsjb em ml y qnmlrylcmsq pmyb rpgn ugrfmsr ksaf njyllgle,90,397000.0
CUST036641,Travel Loan,583000,2024-10-26,Cn qiofx vy uqymigy cz qy wiofx mnuln qilecha ih nbun jlidywn cxyu qy dieyx uvion yulfcyl,200,700600.0
