ticket_id,customer_id,complaint_category,complaint_date,severity
TICKET000001,CUST092633,ATM Withdrawal Failed,2025-03-03,4
TICKET000002,CUST084501,Card Not Working,2024-05-16,7
TICKET000003,CUST008074,Unauthorized Transaction,2024-10-29,4
TICKET000004,CUST017990,Mobile App Issues,2025-03-15,5
TICKET000005,CUST052671,ATM Withdrawal Failed,2024-11-30,1
TICKET000006,CUST067067,Loan Application Rejected,2025-02-02,9
TICKET000007,CUST048607,Account Locked,2024-08-19,1
TICKET000008,CUST006951,Card Not Working,2024-09-04,3
TICKET000009,CUST083753,Loan Application Rejected,2024-11-02,5
TICKET000010,CUST010193,KYC Verification Delay,2024-07-05,8
TICKET000011,CUST021445,Unauthorized Transaction,2025-03-12,0
TICKET000012,CUST065392,Account Locked,2024-09-11,7
TICKET000013,CUST035552,Poor Customer Service,2025-02-01,7
TICKET000014,CUST055597,Delayed Refund,2025-02-04,4
TICKET000015,CUST029989,Mobile App Issues,2025-01-12,5
TICKET000016,CUST070494,Poor Customer Service,2025-01-05,8
TICKET000017,CUST010308,KYC Verification Delay,2024-12-28,2
TICKET000018,CUST012213,Delayed Refund,2024-09-24,5
TICKET000019,CUST062714,Account Locked,2025-04-05,4
TICKET000020,CUST088335,Delayed Refund,2024-08-05,3
TICKET000021,CUST077685,Loan Application Rejected,2024-12-22,2
TICKET000022,CUST001358,Mobile App Issues,2025-04-17,0
TICKET000023,CUST089657,Card Not Working,2025-03-15,1
TICKET000024,CUST095483,Card Not Working,2024-07-11,6
TICKET000025,CUST089370,Card Not Working,2025-04-15,4
TICKET000026,CUST018150,Delayed Refund,2024-04-23,1
TICKET000027,CUST027085,KYC Verification Delay,2024-09-12,2
TICKET000028,CUST002367,Incorrect Charges,2024-07-16,2
TICKET000029,CUST080957,Account Locked,2024-08-07,1
TICKET000030,CUST004174,Card Not Working,2024-09-01,6
TICKET000031,CUST067794,Incorrect Charges,2025-01-06,5
TICKET000032,CUST062999,Unauthorized Transaction,2025-01-22,5
TICKET000033,CUST085012,Poor Customer Service,2024-09-14,1
TICKET000034,CUST093287,Mobile App Issues,2025-04-03,9
TICKET000035,CUST003219,KYC Verification Delay,2024-06-24,1
TICKET000036,CUST042646,Delayed Refund,2024-05-28,6
